execution_rep.csv
Order ID, Client Order ID, Instrument, Side, Execution Status, Quantity, Price, Reason
ord71,aa071,Orchid,1,Fill,550,58,
ord82,aa082,Orchid,2,PFill,150,55,
ord51,aa051,Orchid,1,Fill,150,55,
ord82,aa082,Orchid,2,Fill,100,48,
ord83,aa083,Rose,1,PFill,100,55,
ord74,aa074,Rose,2,Fill,750,55,
ord84,aa084,Rose,2,Fill,900,48,
ord83,aa083,Rose,1,Fill,900,55,
ord85,aa085,Lavender,1,New,400,45,
ord86,aa086,Lavender,2,New,600,50,
ord87,aa087,Lotus,1,New,250,38,
ord88,aa088,Lotus,2,PFill,20,40,
ord67,aa067,Lotus,1,Fill,230,40,
ord89,aa089,Tulip,1,Fill,600,65,
ord70,aa070,Tulip,2,Fill,600,65,
ord90,aa090,Tulip,2,New,450,65,
ord91,aa091,Orchid,1,PFill,150,70,
ord72,aa072,Orchid,2,Fill,800,60,
ord91,aa091,Orchid,1,Fill,400,65,
ord92,aa092,Orchid,2,Fill,300,40,
ord93,aa093,Rose,1,New,900,55,
ord94,aa094,Rose,2,Fill,600,35,
ord95,aa095,Lavender,1,PFill,150,65,
ord56,aa056,Lavender,2,Fill,150,50,
ord95,aa095,Lavender,1,PFill,500,65,
ord66,aa066,Lavender,2,Fill,500,50,
ord95,aa095,Lavender,1,Fill,350,50,
ord96,aa096,Lavender,2,Fill,200,30,
ord97,aa097,Lotus,1,Fill,150,40,
ord98,aa098,Lotus,2,New,350,55,
ord99,aa099,Tulip,1,PFill,450,70,
ord90,aa090,Tulip,2,Fill,450,65,
ord99,aa099,Tulip,1,Fill,150,70,
ord100,aa100,Tulip,2,New,800,62,
ord101,aa101,Orchid,1,New,500,50,
ord102,aa102,Orchid,2,New,200,68,
ord103,aa103,Rose,1,New,800,53,
ord104,aa104,Rose,2,Fill,300,45,
ord93,aa093,Rose,1,Fill,300,55,
ord105,aa105,Lavender,1,New,400,47,
ord106,aa106,Lavender,2,New,500,52,
ord107,aa107,Lotus,1,New,600,38,
ord108,aa108,Lotus,2,New,450,55,
ord109,aa109,Tulip,1,Fill,800,62,
ord100,aa100,Tulip,2,Fill,800,62,
ord110,aa110,Tulip,2,New,600,48,
ord111,aa111,Orchid,1,PFill,300,70,
ord42,aa042,Orchid,2,Fill,700,65,
ord111,aa111,Orchid,1,Fill,100,68,
ord112,aa112,Orchid,2,Fill,500,40,
ord81,aa081,Orchid,1,Fill,500,55,
ord113,aa113,Rose,1,New,350,35,
ord114,aa114,Rose,2,New,300,62,
ord115,aa115,Lavender,1,New,1000,48,
ord116,aa116,Lavender,2,New,450,55,
ord117,aa117,Lotus,1,New,600,30,
ord118,aa118,Lotus,2,New,300,48,
ord119,aa119,Tulip,1,PFill,600,55,
ord110,aa110,Tulip,2,Fill,600,48,
ord120,aa120,Tulip,2,New,900,60,
ord121,aa121,Orchid,1,PFill,100,68,
ord102,aa102,Orchid,2,Fill,200,68,
ord122,aa122,Orchid,2,PFill,500,68,
ord121,aa121,Orchid,1,Fill,600,68,
ord123,aa123,Rose,1,New,500,40,
ord124,aa124,Rose,2,New,600,68,
ord125,aa125,Lavender,1,New,300,45,
ord126,aa126,Lavender,2,PFill,400,48,
ord75,aa075,Lavender,1,Fill,800,48,
ord126,aa126,Lavender,2,Fill,600,35,
ord127,aa127,Lotus,1,Fill,200,40,
ord128,aa128,Lotus,2,New,500,60,
ord129,aa129,Tulip,1,Fill,600,60,
ord130,aa130,Tulip,2,New,400,70,
ord131,aa131,Orchid,1,New,1000,55,
ord132,aa132,Orchid,2,Fill,450,48,
ord133,aa133,Rose,1,New,500,50,
ord134,aa134,Rose,2,PFill,800,53,
ord103,aa103,Rose,1,Fill,800,53,
ord134,aa134,Rose,2,PFill,150,52,
ord63,aa063,Rose,1,Fill,600,52,
ord134,aa134,Rose,2,PFill,20,51,
ord53,aa053,Rose,1,Fill,120,51,
ord134,aa134,Rose,2,Fill,30,48,
ord135,aa135,Lavender,1,PFill,250,55,
ord86,aa086,Lavender,2,Fill,600,50,
ord135,aa135,Lavender,1,PFill,500,55,
ord76,aa076,Lavender,2,Fill,500,52,
ord135,aa135,Lavender,1,Fill,50,52,
ord136,aa136,Lavender,2,New,600,70,
ord137,aa137,Lotus,1,PFill,330,45,
ord88,aa088,Lotus,2,Fill,700,40,
ord138,aa138,Lotus,2,New,600,48,
ord139,aa139,Tulip,1,PFill,300,65,
ord120,aa120,Tulip,2,Fill,900,60,
ord140,aa140,Tulip,2,Fill,400,50,
ord141,aa141,Orchid,1,Fill,300,62,
ord122,aa122,Orchid,2,Fill,300,62,
ord142,aa142,Orchid,2,Fill,500,55,
ord143,aa143,Rose,1,New,700,35,
ord144,aa144,Rose,2,New,300,70,
ord145,aa145,Lavender,1,PFill,450,60,
ord106,aa106,Lavender,2,Fill,500,52,
ord145,aa145,Lavender,1,Fill,150,55,
ord146,aa146,Lavender,2,Rejected,10010,45,Invalid size
ord147,aa147,Lotus,1,Fill,200,48,
ord148,aa148,Lotus,2,New,800,55,
ord149,aa149,Tulip,1,Rejected,6,65,Invalid size
ord150,aa150,Tulip,2,New,500,68,
ord151,aa151,Rose,1,New,100,60,
ord152,aa152,Tulip,2,Fill,200,45,
ord153,aa153,Orchid,1,New,500,52,
ord154,aa154,Lotus,1,New,300,40,
ord155,aa155,Lavender,2,New,400,50,
ord156,aa156,Rose,1,New,600,58,
ord157,aa157,Tulip,2,PFill,100,65,
ord139,aa139,Tulip,1,Fill,1000,65,
ord157,aa157,Tulip,2,Fill,50,45,
ord158,aa158,Orchid,2,PFill,50,55,
ord131,aa131,Orchid,1,Fill,1000,55,
ord159,aa159,Lotus,1,New,200,35,
ord160,aa160,Lavender,1,PFill,400,60,
ord155,aa155,Lavender,2,Fill,400,50,
ord160,aa160,Lavender,1,PFill,300,60,
ord116,aa116,Lavender,2,Fill,450,55,
ord160,aa160,Lavender,1,Fill,300,60,
ord36,aa036,Lavender,2,Fill,300,60,
ord161,aa161,Rose,2,PFill,100,60,
ord151,aa151,Rose,1,Fill,100,60,
ord161,aa161,Rose,2,Fill,200,50,
ord162,aa162,Tulip,2,New,400,60,
ord163,aa163,Orchid,1,Fill,600,55,
ord164,aa164,Lotus,1,PFill,300,58,
ord78,aa078,Lotus,2,Fill,500,48,
ord164,aa164,Lotus,1,PFill,300,58,
ord118,aa118,Lotus,2,Fill,300,48,
ord164,aa164,Lotus,1,Fill,200,48,
ord165,aa165,Lavender,2,PFill,400,48,
ord115,aa115,Lavender,1,Fill,1000,48,
ord165,aa165,Lavender,2,Fill,100,45,
ord166,aa166,Rose,1,New,400,35,
ord167,aa167,Tulip,2,PFill,50,55,
ord119,aa119,Tulip,1,Fill,700,55,
ord167,aa167,Tulip,2,Fill,250,40,
ord168,aa168,Orchid,1,PFill,50,60,
ord158,aa158,Orchid,2,Fill,700,55,
ord169,aa169,Lotus,1,PFill,400,55,
ord138,aa138,Lotus,2,Fill,600,48,
ord169,aa169,Lotus,1,Fill,50,55,
ord170,aa170,Lavender,2,New,200,48,
ord171,aa171,Rose,1,New,100,52,
ord172,aa172,Tulip,2,PFill,150,41,
ord19,aa019,Tulip,1,Fill,1000,41,
ord172,aa172,Tulip,2,Fill,150,35,
ord173,aa173,Orchid,1,New,200,55,
ord174,aa174,Lotus,1,New,600,50,
ord175,aa175,Lavender,2,PFill,300,47,
ord105,aa105,Lavender,1,Fill,400,47,
ord175,aa175,Lavender,2,PFill,300,46,
ord65,aa065,Lavender,1,Fill,380,46,
ord175,aa175,Lavender,2,Fill,200,45,
ord176,aa176,Rose,1,New,500,60,
ord177,aa177,Tulip,2,New,600,65,
ord178,aa178,Orchid,1,New,1000,70,
ord179,aa179,Lotus,1,Fill,400,55,
ord180,aa180,Lavender,2,New,300,48,
ord181,aa181,Rose,1,Fill,150,62,
ord182,aa182,Tulip,2,Fill,100,40,
ord183,aa183,Orchid,1,New,250,55,
ord184,aa184,Lotus,1,New,600,35,
ord185,aa185,Lavender,2,New,200,52,
ord186,aa186,Rose,1,PFill,150,68,
ord114,aa114,Rose,2,Fill,300,62,
ord186,aa186,Rose,1,Fill,550,68,
ord187,aa187,Tulip,2,New,400,58,
ord188,aa188,Orchid,1,New,500,70,
ord189,aa189,Lotus,1,New,300,48,
ord190,aa190,Lavender,2,Fill,200,45,
ord85,aa085,Lavender,1,Fill,200,45,
ord191,aa191,Rose,1,New,1000,60,
ord192,aa192,Tulip,2,New,300,52,
ord193,aa193,Orchid,1,New,150,45,
ord194,aa194,Lotus,1,PFill,150,55,
ord38,aa038,Lotus,2,Fill,600,55,
ord194,aa194,Lotus,1,PFill,150,55,
ord48,aa048,Lotus,2,Fill,150,55,
ord194,aa194,Lotus,1,Fill,300,55,
ord195,aa195,Lavender,2,New,800,60,
ord196,aa196,Rose,1,PFill,50,68,
ord124,aa124,Rose,2,Fill,600,68,
ord197,aa197,Tulip,2,New,400,48,
ord198,aa198,Orchid,1,New,1000,50,
ord199,aa199,Lotus,1,New,250,35,
ord200,aa200,Lavender,2,New,500,55,
ord201,aa201,FlowerX,1,Rejected,100,50,Invalid instrument
ord202,aa202,Rose,3,Rejected,200,60,Invalid side
ord203,aa203,Lotus,1,Rejected,500,-10,Invalid price
ord204,aa204,Lavender,2,Rejected,15,45,Invalid size
ord205,aa205,Tulip,2,Rejected,5,20,Invalid size
ord206,aa206,Rose,1,Rejected,2000,55,Invalid size
ord207,aa207,Rose,1,New,300,0,
ord208,aa208,Lavender,2,Fill,50,0.5,
ord209,aa209,Orchid,1,Rejected,100,-5,Invalid price
ord210,aa210,Tulip,2,Fill,30,25,
ord211,aa211,FlowerY,1,Rejected,150,55,Invalid instrument
ord212,aa212,Lotus,3,Rejected,100,60,Invalid side
ord213,aa213,Tulip,1,Rejected,200,-12,Invalid price
ord214,aa214,Rose,1,Rejected,1100,65,Invalid size
ord215,aa215,Lavender,2,PFill,250,45,
ord125,aa125,Lavender,1,Fill,300,45,
ord215,aa215,Lavender,2,PFill,450,35,
ord35,aa035,Lavender,1,Fill,450,35,
ord215,aa215,Lavender,2,Fill,300,0,
ord216,aa216,Lotus,2,Fill,80,12,
ord217,aa217,Tulip,1,Rejected,120,-20,Invalid price
ord218,aa218,Orchid,1,New,100,5,
ord219,aa219,Rose,2,Rejected,105,30,Invalid size
ord220,aa220,FlowerZ,1,Rejected,200,60,Invalid instrument
ord221,aa221,Tulip,1,Rejected,10,-1,Invalid price
ord222,aa222,Rose,3,Rejected,150,70,Invalid side
ord223,aa223,Lotus,1,Rejected,5,25,Invalid size
ord224,aa224,Lavender,2,PFill,150,35,
ord45,aa045,Lavender,1,Fill,450,35,
ord225,aa225,Rose,2,Rejected,100,-15,Invalid price
ord226,aa226,FlowerX,1,Rejected,150,45,Invalid instrument
ord227,aa227,Orchid,1,Rejected,2000,40,Invalid size
ord228,aa228,Tulip,2,Fill,300,0,
ord229,aa229,Rose,3,Rejected,250,55,Invalid side
ord230,aa230,Lavender,1,Rejected,600,-2,Invalid price
ord231,aa231,Lotus,2,Fill,350,0,
ord232,aa232,Tulip,1,Rejected,25,50,Invalid size
ord233,aa233,Orchid,2,Fill,100,0,
ord234,aa234,Rose,1,Rejected,2000,75,Invalid size
ord235,aa235,Lavender,2,Rejected,105,60,Invalid size
ord236,aa236,Lotus,1,Rejected,400,-30,Invalid price
ord237,aa237,Tulip,1,Rejected,100,-5,Invalid price
ord238,aa238,FlowerY,2,Rejected,50,20,Invalid instrument
ord239,aa239,Orchid,1,Rejected,1100,65,Invalid size
ord240,aa240,Rose,2,Fill,200,0,
ord241,aa241,Lavender,1,Rejected,150,-25,Invalid price
ord242,aa242,Lotus,2,Fill,120,0.5,
ord243,aa243,Tulip,3,Rejected,200,40,Invalid side
ord244,aa244,FlowerZ,2,Rejected,200,55,Invalid instrument
ord245,aa245,Orchid,1,Rejected,1300,65,Invalid size
ord246,aa246,Rose,2,Rejected,600,-10,Invalid price
ord247,aa247,Lavender,1,Rejected,95,50,Invalid size
ord248,aa248,Lotus,2,Fill,10,5,
ord249,aa249,Tulip,1,New,900,0,
00000000-0000000.148
